iter	Passed	Remaining
0	1	174
1	3	185
2	5	172
3	6	161
4	8	154
5	9	155
6	11	155
7	13	158
8	15	153
9	17	155
10	18	151
11	20	148
12	21	144
13	23	141
14	24	140
15	26	138
16	28	136
17	30	136
18	31	135
19	33	133
20	34	131
21	36	128
22	37	126
23	39	123
24	40	120
25	41	119
26	43	117
27	44	115
28	46	112
29	47	110
30	48	108
31	50	106
32	51	103
33	52	101
34	53	99
35	54	97
36	56	96
37	58	94
38	59	92
39	60	90
40	61	88
41	61	85
42	62	83
43	63	81
44	65	79
45	66	78
46	67	76
47	68	74
48	69	72
49	71	71
50	72	69
51	73	67
52	74	66
53	75	64
54	76	62
55	77	60
56	78	59
57	80	58
58	81	56
59	83	55
60	84	54
61	86	53
62	88	51
63	89	50
64	90	48
65	91	47
66	92	45
67	93	44
68	94	42
69	95	40
70	96	39
71	97	37
72	98	36
73	100	35
74	101	33
75	102	32
76	103	30
77	104	29
78	105	27
79	106	26
80	107	25
81	108	23
82	109	22
83	110	20
84	111	19
85	112	18
86	113	16
87	114	15
88	115	14
89	116	12
90	117	11
91	118	10
92	119	9
93	120	7
94	121	6
95	123	5
96	124	3
97	125	2
98	126	1
99	127	0
